team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,25,4,5,79,106,45,61
Dortmund,2,34,21,4,9,67,80,55,25
RB Leipzig,3,34,19,9,6,66,70,37,33
Leverkusen,4,34,19,8,7,65,64,38,26
Union Berlin,5,34,16,6,12,54,59,40,19
Koln,6,34,13,9,12,48,45,49,-4
Stuttgart,7,34,12,11,11,47,59,62,-3
Eintracht Frankfurt,8,34,13,7,14,46,56,53,3
Mainz 05,9,34,12,10,12,46,47,66,-19
Wolfsburg,10,34,13,6,15,45,53,65,-12
Hoffenheim,11,34,13,6,15,45,56,71,-15
Freiburg,12,34,13,4,17,43,56,59,-3
Augsburg,13,34,12,4,18,40,46,53,-7
Gladbach,14,34,10,10,14,40,53,61,-8
Hamburger SV,15,34,9,11,14,38,44,54,-10
St Pauli,16,34,9,8,17,35,32,45,-13
Heidenheim,17,34,7,5,22,26,38,71,-33
Werder Bremen,18,34,7,4,23,25,40,80,-40
