team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,22,6,6,72,87,46,41
Dortmund,2,34,21,7,6,70,91,50,41
Leverkusen,3,34,22,3,9,69,76,34,42
RB Leipzig,4,34,19,4,11,61,67,57,10
Union Berlin,5,34,17,3,14,54,46,47,-1
Hoffenheim,6,34,14,6,14,48,60,67,-7
Stuttgart,7,34,13,8,13,47,63,54,9
Wolfsburg,8,34,14,5,15,47,53,52,1
Freiburg,9,34,12,10,12,46,53,56,-3
Hamburger SV,10,34,13,6,15,45,41,47,-6
Augsburg,11,34,12,8,14,44,44,63,-19
Eintracht Frankfurt,12,34,11,10,13,43,48,45,3
Werder Bremen,13,34,12,5,17,41,47,66,-19
Heidenheim,14,34,11,7,16,40,60,66,-6
Mainz 05,15,34,9,8,17,35,42,62,-20
Koln,16,34,10,3,21,33,35,59,-24
St Pauli,17,34,6,15,13,33,21,47,-26
Gladbach,18,34,8,6,20,30,57,73,-16
