team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,23,6,5,75,86,47,39
RB Leipzig,2,34,21,7,6,70,77,42,35
Stuttgart,3,34,21,5,8,68,77,51,26
Dortmund,4,34,20,7,7,67,83,41,42
Leverkusen,5,34,15,10,9,55,68,48,20
Union Berlin,6,34,16,7,11,55,55,45,10
Werder Bremen,7,34,16,6,12,54,51,56,-5
Augsburg,8,34,15,9,10,54,39,48,-9
Gladbach,9,34,13,6,15,45,56,60,-4
Wolfsburg,10,34,10,13,11,43,55,47,8
Koln,11,34,12,5,17,41,45,49,-4
Eintracht Frankfurt,12,34,11,8,15,41,56,64,-8
Heidenheim,13,34,9,9,16,36,50,69,-19
Mainz 05,14,34,7,11,16,32,42,60,-18
Freiburg,15,34,8,8,18,32,49,68,-19
St Pauli,16,34,5,14,15,29,27,46,-19
Hoffenheim,17,34,7,6,21,27,39,74,-35
Hamburger SV,18,34,4,9,21,21,38,78,-40
