team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,27,4,3,85,95,34,61
Leverkusen,2,34,21,6,7,69,72,43,29
Wolfsburg,3,34,20,6,8,66,65,41,24
Stuttgart,4,34,18,5,11,59,74,61,13
RB Leipzig,5,34,17,5,12,56,61,46,15
Dortmund,6,34,15,10,9,55,89,57,32
Mainz 05,7,34,15,8,11,53,49,47,2
Freiburg,8,34,14,10,10,52,54,52,2
Eintracht Frankfurt,9,34,11,9,14,42,48,57,-9
Hoffenheim,10,34,11,7,16,40,56,67,-11
Gladbach,11,34,10,10,14,40,54,65,-11
Heidenheim,12,34,12,4,18,40,37,60,-23
Union Berlin,13,34,10,7,17,37,56,70,-14
Augsburg,14,34,10,4,20,34,40,60,-20
Hamburger SV,15,34,8,9,17,33,42,56,-14
St Pauli,16,34,6,13,15,31,25,40,-15
Koln,17,34,8,7,19,31,34,58,-24
Werder Bremen,18,34,7,8,19,29,40,77,-37
