team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,20,8,6,68,88,47,41
Leverkusen,2,34,20,7,7,67,75,48,27
Dortmund,3,34,18,7,9,61,75,50,25
RB Leipzig,4,34,17,7,10,58,79,57,22
Gladbach,5,34,16,7,11,55,76,64,12
Stuttgart,6,34,14,10,10,52,60,48,12
Freiburg,7,34,14,9,11,51,51,47,4
Eintracht Frankfurt,8,34,14,9,11,51,52,51,1
Augsburg,9,34,14,5,15,47,43,54,-11
St Pauli,10,34,11,12,11,45,29,35,-6
Werder Bremen,11,34,13,5,16,44,51,54,-3
Wolfsburg,12,34,12,7,15,43,49,61,-12
Koln,13,34,11,8,15,41,48,54,-6
Hoffenheim,14,34,11,5,18,38,51,66,-15
Mainz 05,15,34,9,8,17,35,44,62,-18
Union Berlin,16,34,7,13,14,34,39,50,-11
Hamburger SV,17,34,9,7,18,34,38,67,-29
Heidenheim,18,34,5,8,21,23,40,73,-33
