team,position,games_played,wins,draws,losses,points,gf,ga,gd
Leverkusen,1,34,25,4,5,79,85,40,45
Bayern Munich,2,34,24,4,6,76,94,47,47
Dortmund,3,34,22,4,8,70,83,48,35
Eintracht Frankfurt,4,34,17,8,9,59,47,41,6
Mainz 05,5,34,18,4,12,58,52,44,8
RB Leipzig,6,34,16,7,11,55,60,43,17
Stuttgart,7,34,12,10,12,46,59,59,0
Freiburg,8,34,13,6,15,45,46,51,-5
Hoffenheim,9,34,12,8,14,44,56,69,-13
Wolfsburg,10,34,13,4,17,43,50,65,-15
Werder Bremen,11,34,12,5,17,41,47,54,-7
Gladbach,12,34,12,5,17,41,55,63,-8
Hamburger SV,13,34,11,7,16,40,39,50,-11
St Pauli,14,34,10,9,15,39,28,34,-6
Heidenheim,15,34,11,6,17,39,57,71,-14
Augsburg,16,34,11,4,19,37,42,59,-17
Union Berlin,17,34,9,6,19,33,36,56,-20
Koln,18,34,3,9,22,18,33,75,-42
