team,position,games_played,wins,draws,losses,points,gf,ga,gd
Bayern Munich,1,34,24,3,7,75,96,41,55
Leverkusen,2,34,19,10,5,67,76,37,39
Dortmund,3,34,19,9,6,66,88,54,34
RB Leipzig,4,34,19,9,6,66,68,40,28
Stuttgart,5,34,17,6,11,57,65,55,10
Union Berlin,6,34,14,10,10,52,54,47,7
Eintracht Frankfurt,7,34,14,8,12,50,59,48,11
Hoffenheim,8,34,14,4,16,46,42,60,-18
Heidenheim,9,34,10,12,12,42,62,64,-2
Freiburg,10,34,12,6,16,42,50,65,-15
St Pauli,11,34,8,15,11,39,31,34,-3
Augsburg,12,34,10,9,15,39,41,55,-14
Werder Bremen,13,34,9,9,16,36,45,56,-11
Wolfsburg,14,34,8,11,15,35,55,69,-14
Mainz 05,15,34,10,5,19,35,36,56,-20
Hamburger SV,16,34,9,7,18,34,42,64,-22
Koln,17,34,8,10,16,34,52,80,-28
Gladbach,18,34,6,9,19,27,46,83,-37
